( 25,193),( 84,243),1 
( 81,112),(153,173),1 
(121, 40),(201,107),1 
(216, 44),(264,100),1 
(292, 31),(363,101),1 
(378, 29),(439, 90),1 
( 38,287),(115,368),1 
(117,326),(187,411),1 
(206,216),(290,278),1 
(320,174),(380,243),1 
(407,166),(468,231),1 
(479,160),(559,246),1 
(579,172),(639,236),1 
(655,155),(733,236),1 
(862,190),(910,249),1 
(357,363),(432,451),1 
(454,361),(531,448),1 
(539,358),(626,450),1 
(375,514),(463,612),1 
(481,513),(558,596),1 
(579,511),(658,607),1 
(638,367),(721,445),1 
(674,515),(755,606),1 
(768,506),(853,605),1 
(885,363),(941,424),1 
